id,article,name,description,price,category_id,image_path
1,111111,"Филадельфия классик","Лосось, сливочный сыр, огурец",390.00,1,filclas.jpeg
2,111112,"Филадельфия лайт","Лосось, сливочный сыр",350.00,1,fillight.jpeg
3,111113,"Филадельфия с угрем","Лосось, угорь, сыр",520.00,1,filugr.jpeg
4,111114,"Калифорния с лососем","Лосось, авокадо, икра тобико",390.00,1,califlos.jpeg
5,111115,"Калифорния классик","Краб, авокадо, икра тобико",340.00,1,califcrab.jpg
6,111116,"Дракон спайси","Угорь, авокадо, соус спайси",550.00,1,hotdracon.jpeg
7,111117,"Драгон классик","Угорь, авокадо, унаги соус",520.00,1,draconclas.jpeg
8,111118,"Бонито ролл","Тунец, стружка тунца",430.00,1,bonito.png
9,111119,"Темпура ролл","Креветка в кляре, авокадо",470.00,1,tempura.jpeg
10,111120,"Спайси туна","Тунец, острый соус, огурец",410.00,1,hotrolltunec.jpeg
11,111121,Окинава,"Креветка, сливочный сыр, авокадо",450.00,1,okinavakrevetka.jpg
12,111122,"Ролл с угрем","Угорь, огурец, соус унаги",420.00,1,ygrogyrec.png
13,111123,"Ролл с лососем","Лосось, рис, нори",320.00,1,nigirilososo.jpg
14,111124,"Ролл с тунцом","Тунец, рис, нори",330.00,1,nigiritynec.jpg
15,111125,"Ролл огурец","Огурец, кунжут",200.00,1,ogyreckynjyt.jpeg
16,222221,"Суши лосось","Свежий лосось на рисе",120.00,2,nigirilococ222.jpg
17,222222,"Суши тунец","Свежий тунец на рисе",130.00,2,nigiritynec222.jpg
18,222223,"Суши угорь","Копченый угорь на рисе",150.00,2,nigirigrebeshok.jpg
19,222224,"Суши креветка","Креветка на рисе",110.00,2,nigirikrevetka.jpg
20,222225,"Суши осьминог","Осьминог на рисе",160.00,2,nigiriosminog.jpg
21,222226,"Суши морской гребешок","Гребешок на рисе",170.00,2,Hotgrebesok.jpeg
22,222227,"Суши икра","Икра летучей рыбы",100.00,2,UNAGO.jpg
23,222228,"Суши унаги","Угорь в соусе унаги",180.00,2,tobiko.jpeg
24,222229,"Суши гребешок спайси","Гребешок с острым соусом",190.00,2,grebenhohothtohotoht.jpg
25,222230,"Суши ассорти 6 шт","Лосось, тунец, угорь (по 2 шт)",700.00,2,miniset.jpeg
26,333331,"Сет Мини","16 шт роллов",890.00,3,sushiassorti.jpg
27,333332,"Сет Классик","24 шт роллов",1200.00,3,24stuk.jpg
28,333333,"Сет Гурман","32 шт роллов",1650.00,3,gurme.jpeg
29,333334,"Сет Филадельфия","Филадельфия микс (30 шт)",1800.00,3,filasetttt.jpg
30,333335,"Сет Темпура","Жареные роллы (24 шт)",1500.00,3,tempuraset.jpeg
31,333336,"Сет Макси","40 шт роллов",2100.00,3,maxiset.jpeg
32,333337,"Сет Премиум","48 шт роллов",2500.00,3,premiumset.png
33,333338,"Сет Романтик","16 шт роллов на двоих",850.00,3,parniset.jpg
34,333339,"Сет Студент","20 шт роллов",999.00,3,studentset.jpg
35,333340,"Сет Семейный","72 шт роллов",3900.00,3,familyset.jpg
36,444441,"Пицца Маргарита","Томатный соус, моцарелла, базилик",550.00,4,margarita.jpeg
37,444442,"Пицца Пепперони","Пепперони, моцарелла, томатный соус",600.00,4,peperoni.jpg
38,444443,"Пицца 4 сыра","Моцарелла, пармезан, дорблю, чеддер",650.00,4,4sira.jpg
39,444444,"Пицца Гавайская","Курица, ананас, моцарелла",620.00,4,gavai.jpeg
40,444445,"Пицца Барбекю","Говядина, бекон, соус",680.00,4,bbq.jpeg
41,444446,"Пицца Вегетарианская","Помидоры, перец, грибы, оливки",550.00,4,vegan.jpeg
42,444447,"Пицца Мясная","Бекон, ветчина, пепперони, говядина",700.00,4,meathappy.jpg
43,444448,"Пицца Острая","Перец халапеньо, мясо, моцарелла",720.00,4,hotpIZZA.jpeg
44,444449,"Пицца Куриная","Курица, грибы, моцарелла",650.00,4,chickengrib.jpeg
45,444450,"Пицца Сырная","4 вида сыра, чеснок",600.00,4,chesse.jpg
46,555551,Кока-Кола,"0.5л, газированная",120.00,5,cola.jpg
47,555552,Фанта,"0.5л, апельсиновая",120.00,5,fanta.jpeg
48,555553,Спрайт,"0.5л, лимон-лайм",120.00,5,sprite.jpg
49,555554,"Сок апельсиновый","0.5л, 100% натуральный",150.00,5,orangejuice.jpg
50,555555,"Зелёный чай","0.5л, в бутылке",130.00,5,tea.jpg
